S.No,Lat.,Lon.,pH,EC dS/m,Sand %,Silt %,Clay %,Textural Class,OC g/kg,Av.N kg/ha,Av.P  kg/ha,Av.K kg/ha,District 
1,12.287634,78.313029,7.1,0.6,61.4,8,30.6,SCL,16.8,216.4,42.9,363.8,Krisnagiri
2,12.287571,78.253234,6.9,0.5,79.4,4,16.6,SL,3,159.9,42,70.5,Krisnagiri
3,12.347585,78.49285,6.8,0.9,53.4,10,36.6,SC ,5.1,285.4,45,125.5,Krisnagiri
4,12.347695,78.433036,7.1,0.7,71.4,4,24.6,SCL,4.8,257.2,41.7,110.2,Krisnagiri
5,12.347673,78.373061,7.7,0.4,59.4,8,32.6,SCL,11.9,213.2,65.8,455.8,Krisnagiri
6,12.347673,78.313049,7.4,0.7,68,5.4,26.6,SCL,3.8,141.1,42.2,108.1,Krisnagiri
7,12.347677,78.253016,6.7,1.4,65.4,8,26.6,SCL,5.5,112.9,11.1,97.6,Krisnagiri
8,12.347656,78.193049,7,1,35.4,12,52.6,C,3,366.9,29.6,747,Krisnagiri
9,12.407843,78.133282,6.4,1.1,65.4,8,26.6,SC,9.9,194.4,92.3,101.7,Krisnagiri
10,12.407696,78.193624,7.1,0.9,48.8,19.2,32,SCL,24.8,222.7,77.4,178.1,Krisnagiri
11,12.407659,78.252986,7.7,0.7,71.4,8,20.6,SCL,5,175.6,23.1,86.6,Krisnagiri
12,12.407666,78.313044,6.9,1.9,71.4,8.6,20,SCL,13.7,166.2,22.8,83.6,Krisnagiri
13,12.407742,78.372885,6.7,1.5,68,10,22,SCL,4.8,181.9,32.3,159.3,Krisnagiri
14,12.287653,78.372994,7.4,0.2,48,16,36,SC,10.1,166.2,7.2,126.1,Krisnagiri
15,12.287704,78.43307,7.4,0.1,50,18,32,SCL,6.3,153.7,10.7,107,Krisnagiri
16,12.287788,78.43307,7.1,0.2,82,2,16,SL,3.4,81.5,11.1,143.5,Krisnagiri
17,12.287618,78.55298,7.7,0.2,65.4,14,20.6,SCL,11.9,119.2,36.1,486.9,Krisnagiri
18,12.347786,78.612956,6.8,0.1,78,3.4,18.6,SL,3.4,109.8,27.6,182,Krisnagiri
19,12.347786,78.553475,7.6,0.3,55.4,16,28.6,SCL,9.7,144.3,9.6,94.1,Krisnagiri
20,12.407756,78.493131,7.4,0.2,76,6,18,SL,8.7,116,0.8,199.1,Krisnagiri
21,12.407653,78.433136,7.3,0.1,67.4,6,26.6,SCL,4.2,138,95.3,167,Krisnagiri
22,12.227428,78.372982,7.5,0.2,45.4,22,32.6,SCL,1.4,141.1,9.2,499.4,Krisnagiri
23,12.227681,78.433133,7.7,0.2,63.4,12,24.6,SCL,5.9,119.2,16.4,96.8,Krisnagiri
24,12.235844,78.492864,6.8,0.2,76,6,18,SL,5.1,141.1,100.7,91.1,Krisnagiri
25,12.167614,78.492936,7.9,0.2,54,16,30,SCL,9.9,172.5,85.1,168.8,Krisnagiri
