date,reservoir,full_depth_ft,full_capacity_mcft,level_ft,storage_mcft,inflow_cusecs,outflow_cusecs,last_year_level_ft,last_year_storage_mcft,storage_percentage
08-06-2023,Amaravathi,90,4047,39.33,511,1002,850,40.62,554,12.63
08-06-2023,Bhavanisagar,105,32800,51.49,5525,201,130,54.13,6257,16.84
08-06-2023,Manimuthar,118,5511,66.5,1314,1045,1082,62.76,1137,23.84
08-06-2023,Mettur,120,93470,82.45,36581,842,723,78.94,32806,39.14
08-06-2023,Papanasam,143,5500,72.2,996,1203,1223,73.2,1031,18.11
08-06-2023,Vaigai,71,6091,21.42,305,941,1015,21.46,306,5.01
09-06-2023,Amaravathi,90,4047,37.98,468,136,72,39.63,521,11.56
09-06-2023,Bhavanisagar,105,32800,52.04,5672,226,218,51.36,5490,17.29
09-06-2023,Manimuthar,118,5511,63.26,1160,479,270,60.93,1056,21.05
09-06-2023,Mettur,120,93470,80.94,34922,108,57,84.38,38758,37.36
09-06-2023,Papanasam,143,5500,68.8,883,1685,1348,71.9,986,16.05
09-06-2023,Vaigai,71,6091,21.42,305,410,390,22.37,339,5.01
10-06-2023,Amaravathi,90,4047,37.7,459,760,566,39.34,511,11.34
10-06-2023,Bhavanisagar,105,32800,50.58,5282,294,210,49.62,5035,16.1
10-06-2023,Manimuthar,118,5511,63.95,1192,909,489,63.31,1162,21.63
10-06-2023,Mettur,120,93470,84.95,39410,13,14,88.24,43341,42.16
10-06-2023,Papanasam,143,5500,68.29,867,1588,1163,68.31,868,15.76
10-06-2023,Vaigai,71,6091,21.42,305,1025,642,21.54,309,5.01
11-06-2023,Amaravathi,90,4047,37.61,457,226,114,36.69,430,11.29
11-06-2023,Bhavanisagar,105,32800,50.01,5136,470,359,52.22,5721,15.66
11-06-2023,Manimuthar,118,5511,65.72,1276,717,415,64.32,1209,23.15
11-06-2023,Mettur,120,93470,83.09,37289,152,92,79.84,33747,39.89
11-06-2023,Papanasam,143,5500,71.39,968,255,228,75.45,1112,17.6
11-06-2023,Vaigai,71,6091,21.42,305,126,89,22.49,344,5.01
12-06-2023,Amaravathi,90,4047,35.62,399,489,501,37.32,448,9.86
