Crop,Precision,Recall,F1-Score,Support
Rice,0.99,1.0,0.99,120
Maize,0.97,0.96,0.96,118
Jute,0.98,0.99,0.98,122
Cotton,0.99,0.97,0.98,115
Coconut,1.0,1.0,1.0,120
Papaya,0.96,0.98,0.97,119
Orange,0.98,0.97,0.97,121
Apple,1.0,1.0,1.0,117
Muskmelon,0.99,0.98,0.99,123
Watermelon,0.97,0.99,0.98,116
Grapes,1.0,1.0,1.0,118
Mango,0.98,0.98,0.98,122
Banana,0.99,0.99,0.99,120
Pomegranate,0.97,0.98,0.97,119
Lentil,0.96,0.95,0.95,115
Blackgram,0.98,0.96,0.97,120
Mungbean,0.97,0.99,0.98,121
Mothbeans,0.95,0.96,0.95,118
Pigeonpeas,0.98,0.99,0.98,122
Kidneybeans,0.99,0.98,0.98,116
Chickpea,1.0,0.99,0.99,120
Coffee,1.0,1.0,1.0,118
